cisco_messageClass,cisco_className,cisco_classDefinition
*,*,*
101,ha,High Availability (Failover)
102,ha,High Availability (Failover)
103,ha,High Availability (Failover)
104,ha,High Availability (Failover)
106,session,User Session
107,rip,RIP Routing
108,session,User Session
109,auth,User Authentication
110,bridge,Transparent Firewall
111,config,Command Interface
112,config,Command Interface
113,auth,User Authentication
199,sys,System
201,session,User Session
202,session,User Session
204,session,User Session
208,config,Command Interface
209,ip,IP Stack
210,ha,High Availability (Failover)
211,sys,System
212,snmp,SNMP
213,vpdn,PPTP and L2TP Sessions
214,sys,System
215,ip,IP Stack
216,sys,System
220,bridge,Transparent Firewall
302,session,User Session
303,session,User Session
304,session,User Session
305,session,User Session
305,xlate,NAT and PAT
306,sys,System
307,sys,System
308,config,Command Interface
311,ha,High Availability (Failover)
312,rip,RIP Routing
313,ip,IP Stack
314,session,User Session
315,sys,System
316,vpn,IKE and IPSec
317,ip,IP Stack
318,ospf,OSPF Routing
319,np,Network Processor
320,vpn,IKE and IPSec
321,rm,Resource Manager
400,ips,Intrusion Protection Service
401,ips,Intrusion Protection Service
402,vpn,IKE and IPSec
403,vpdn,PPTP and L2TP Sessions
404,vpn,IKE and IPSec
405,session,User Session
406,session,User Session
407,session,User Session
408,ip,IP Stack
409,ospf,OSPF Routing
414,sys,System
415,ips,Intrusion Protection Service
500,session,User Session
501,vpn,IKE and IPSec
502,session,User Session
503,ospf,OSPF Routing
602,vpn,IKE and IPSec
603,vpdn,PPTP and L2TP Sessions
604,sys,System
605,sys,System
606,sys,System
607,session,User Session
608,session,User Session
609,session,User Session
610,sys,System
611,vpnc,VPN Client
612,sys,System
613,ospf,OSPF Routing
614,sys,System
615,sys,System
616,session,User Session
620,session,User Session
701,sys,System
702,vpn,IKE and IPSec
703,session,User Session
709,ha,High Availability (Failover)
710,session,User Session
711,sys,System
713,vpn,IKE and IPSec
714,vpn,IKE and IPSec
715,vpn,IKE and IPSec
716,webvpn,Web-based VPN
717,ca,PKI Certification Authority
718,vpnlb,VPN Load Balancing
719,email,E-mail Proxy
720,vpnfo,VPN Failover
721,webfo,Web-based Failover
722,svc,SSL VPN Client
725,npssl,NP SSL
733,td,Threat Detection
734,dap,Dynamic Access Policies
735,ipaa,IP Address Assignment
750,ikev2,IKEv2 Toolkit
751,ikev2,IKEv2 Toolkit
752,ikev2,IKEv2 Toolkit
