Event,Value,Key,KeyValue
AccountStatus,0,AccountStatus_0,Provisioned
AccountStatus,1,AccountStatus_1,Operational
AccountStatus,2,AccountStatus_2,Regression
ActiveDirectoryAuthenticationMethod,0,ActiveDirectoryAuthenticationMethod_0,KERBEROS
ActiveDirectoryAuthenticationMethod,1,ActiveDirectoryAuthenticationMethod_1,NTLM_V1
ActiveDirectoryAuthenticationMethod,2,ActiveDirectoryAuthenticationMethod_2,NTLM_V2
ActiveDirectoryAuthenticationMethod,3,ActiveDirectoryAuthenticationMethod_3,SIMPLE_BIND
ActiveDirectoryAuthenticationMethod,4,ActiveDirectoryAuthenticationMethod_4,NO_AUTHENTICATION
ActiveDirectoryAuthenticationMethod,5,ActiveDirectoryAuthenticationMethod_5,UNKNOWN_NTLM
ActiveDirectoryDataProtocol,0,ActiveDirectoryDataProtocol_0,LDAP
ActiveDirectoryDataProtocol,1,ActiveDirectoryDataProtocol_1,DCE_RPC
ActiveDirectoryDataProtocol,2,ActiveDirectoryDataProtocol_2,RDP
AsepClass,0,AsepClass_0,Effect is unknown
AsepClass,1,AsepClass_1,Induces code execution at system startup
AsepClass,10,AsepClass_10,ASEPs related to (plugins for) custom processes
AsepClass,100,AsepClass_100,Registry keys related to Boot Configuration Data
AsepClass,101,AsepClass_101,CrowdStrike-specific registry key
AsepClass,11,AsepClass_11,ASEPs related to Windows core services
AsepClass,12,AsepClass_12,ASEPs related to core service plugins
AsepClass,13,AsepClass_13,ASEPs related to server plugins
AsepClass,14,AsepClass_14,ASEPs related to Networking services
AsepClass,15,AsepClass_15,ASEPs related to text/speech/internationalization service plugins
AsepClass,16,AsepClass_16,ASEPs related to Multimedia plugins
AsepClass,17,AsepClass_17,ASEPs related to Shell plugins
AsepClass,18,AsepClass_18,ASEPs related to Internet Explorer COM plugins
AsepClass,19,AsepClass_19,ASEPs related to COM registration
AsepClass,2,AsepClass_2,Induces code execution at system shutdown
AsepClass,20,AsepClass_20,ASEPs related to printers
AsepClass,21,AsepClass_21,ASEPs related to terminal server
AsepClass,22,AsepClass_22,ASEPs related to core graphic
AsepClass,23,AsepClass_23,ASEPs related to system configuration
AsepClass,3,AsepClass_3,Induces code execution at user logon
AsepClass,4,AsepClass_4,Induces code execution at user logoff
AsepClass,5,AsepClass_5,Induces code execution at when an application is launched
AsepClass,6,AsepClass_6,Specifies a module that a 3rd party application loads
AsepClass,7,AsepClass_7,An ASEP key or value that is related to a service
AsepClass,8,AsepClass_8,ASEPs related to logon / authentication
AsepClass,9,AsepClass_9,ASEPs related to Windows core processes
AsepFlags,1,AsepFlags_1,GLOBAL
AsepFlags,16,AsepFlags_16,NEEDS_SOURCE_MS_SIGNED
AsepFlags,2,AsepFlags_2,PRIVILEGED
AsepFlags,3,AsepFlags_3,GLOBAL_PRIVILEGED
AsepFlags,32,AsepFlags_32,NEEDS_TARGET_MS_SIGNED
AsepFlags,4,AsepFlags_4,NEEDS_SOURCE_SIGNED
AsepFlags,64,AsepFlags_64,SUSPICIOUS
AsepFlags,8,AsepFlags_8,NEEDS_TARGET_SIGNED
AsepValueType,0,AsepValueType_0,unknown
AsepValueType,1,AsepValueType_1,cmd_line
AsepValueType,2,AsepValueType_2,dll_path
AsepValueType,3,AsepValueType_3,dll_name
AsepValueType,4,AsepValueType_4,app_name
AsepValueType,5,AsepValueType_5,guid
AuthenticationFailureMsEr,3221225506,AuthenticationFailureMsEr_3221225506,STATUS_ACCESS_DENIED
AuthenticationFailureMsEr,3221225572,AuthenticationFailureMsEr_3221225572,STATUS_NO_SUCH_USER
AuthenticationFailureMsEr,3221225578,AuthenticationFailureMsEr_3221225578,STATUS_WRONG_PASSWORD
AuthenticationFailureMsEr,3221225581,AuthenticationFailureMsEr_3221225581,STATUS_LOGON_FAILURE
AuthenticationFailureMsEr,3221225582,AuthenticationFailureMsEr_3221225582,STATUS_ACCOUNT_RESTRICTION
AuthenticationFailureMsEr,3221225583,AuthenticationFailureMsEr_3221225583,STATUS_INVALID_LOGON_HOURS
AuthenticationFailureMsEr,3221225584,AuthenticationFailureMsEr_3221225584,STATUS_INVALID_WORKSTATION
AuthenticationFailureMsEr,3221225585,AuthenticationFailureMsEr_3221225585,STATUS_PASSWORD_EXPIRED
AuthenticationFailureMsEr,3221225586,AuthenticationFailureMsEr_3221225586,STATUS_ACCOUNT_DISABLED
AuthenticationFailureMsEr,3221225813,AuthenticationFailureMsEr_3221225813,STATUS_LOGON_NOT_GRANTED
AuthenticationFailureMsEr,3221225819,AuthenticationFailureMsEr_3221225819,STATUS_LOGON_TYPE_NOT_GRANTED
AuthenticationFailureMsEr,3221225875,AuthenticationFailureMsEr_3221225875,STATUS_ACCOUNT_EXPIRED
AuthenticationFailureMsEr,3221226036,AuthenticationFailureMsEr_3221226036,STATUS_ACCOUNT_LOCKED_OUT
AuthenticationId,0,AuthenticationId_0,Invalid Luid
AuthenticationId,1000,AuthenticationId_1000,Reserved Luid Max
AuthenticationId,996,AuthenticationId_996,Network Service
AuthenticationId,997,AuthenticationId_997,Local Service
AuthenticationId,999,AuthenticationId_999,System
CloudErrorCode,1,CloudErrorCode_1,RR_INITIALIZATION_ERROR
CloudErrorCode,2,CloudErrorCode_2,RR_INSTANTIATION_ERROR
CloudErrorCode,3,CloudErrorCode_3,RR_EXECUTION_ERROR
CloudErrorCode,4,CloudErrorCode_4,RR_EXCEPTION_ERROR
CloudErrorCode,5,CloudErrorCode_5,RR_ENTITLEMENT_ERROR
CloudErrorCode,6,CloudErrorCode_6,RR_INVALID_COMMAND_ERROR
CloudErrorCode,7,CloudErrorCode_7,RR_DISABLED_ERROR
CloudErrorCode,8,CloudErrorCode_8,RR_NOT_IMPLEMENTED_ERROR
CloudPlatform,1,CloudPlatform_1,Amazon Web Services
CloudPlatform,2,CloudPlatform_2,Microsoft Azure Cloud Platform
CloudPlatform,3,CloudPlatform_3,Google Cloud Platform
ConnectionCipher,0,ConnectionCipher_0,NO_ENCRYPTION
ConnectionCipher,26113,ConnectionCipher_26113,CALG_DES
ConnectionCipher,26114,ConnectionCipher_26114,CALG_RC2
ConnectionCipher,26115,ConnectionCipher_26115,CALG_3DES
ConnectionCipher,26126,ConnectionCipher_26126,CALG_AES_128
ConnectionCipher,26128,ConnectionCipher_26128,CALG_AES_256
ConnectionCipher,26625,ConnectionCipher_26625,CALG_RC4
ConnectionDirection,0,ConnectionDirection_0,Outbound
ConnectionDirection,1,ConnectionDirection_1,Inbound
ConnectionDirection,2,ConnectionDirection_2,Neither
ConnectionDirection,3,ConnectionDirection_3,Both
ConnectionExchange,19457,ConnectionExchange_19457,CALG_SSL3_MASTER
ConnectionExchange,19458,ConnectionExchange_19458,CALG_SCHANNEL_MASTER_HASH
ConnectionExchange,19459,ConnectionExchange_19459,CALG_SCHANNEL_MAC_KEY
ConnectionExchange,19460,ConnectionExchange_19460,CALG_PCT1_MASTER
ConnectionExchange,19461,ConnectionExchange_19461,CALG_SSL2_MASTER
ConnectionExchange,19462,ConnectionExchange_19462,CALG_TLS1_MASTER
ConnectionExchange,19463,ConnectionExchange_19463,CALG_SCHANNEL_ENC_KEY
ConnectionExchange,26113,ConnectionExchange_26113,CALG_DES
ConnectionExchange,26114,ConnectionExchange_26114,CALG_RC2
ConnectionExchange,26115,ConnectionExchange_26115,CALG_3DES
ConnectionExchange,26116,ConnectionExchange_26116,CALG_DESX
ConnectionExchange,26121,ConnectionExchange_26121,CALG_3DES_112
ConnectionExchange,26122,ConnectionExchange_26122,CALG_SKIPJACK
ConnectionExchange,26123,ConnectionExchange_26123,CALG_TEK
ConnectionExchange,26124,ConnectionExchange_26124,CALG_CYLINK_MEK
ConnectionExchange,26125,ConnectionExchange_26125,CALG_RC5
ConnectionExchange,26126,ConnectionExchange_26126,CALG_AES_128
